 format: day,hour,value location:60_127 Start : 20150101 
 6, 1200, 1.000000 
 6, 1300, 0.400000 
 6, 1400, 0.000000 
 6, 1500, -0.200000 
 6, 1600, -0.600000 
 6, 1700, -0.600000 
 6, 1800, -0.800000 
 6, 1900, -1.300000 
 6, 2000, -1.400000 
 6, 2100, -1.400000 
 6, 2200, -0.700000 
 6, 2300, -0.500000 
 7, 0000, 0.000000 
 7, 0100, 1.200000 
 7, 0200, 3.200000 
 7, 0300, 3.700000 
 7, 0400, 5.000000 
 7, 0500, 4.500000 
 7, 0600, 5.200000 
 7, 0700, 4.900000 
 7, 0800, 4.100000 
 7, 0900, 3.500000 
 7, 1000, 3.000000 
 7, 1100, 2.800000 
 7, 1200, 2.400000 
 7, 1300, 0.900000 
 7, 1400, -0.800000 
 7, 1500, -2.600000 
 7, 1600, -3.900000 
 7, 1700, -6.000000 
 7, 1800, -7.600000 
 7, 1900, -8.800000 
 7, 2000, -10.400000 
 7, 2100, -11.100000 
 7, 2200, -11.600000 
 7, 2300, -11.800000 
 8, 0000, -11.500000 
 8, 0100, -10.700000 
 8, 0200, -9.500000 
 8, 0300, -9.100000 
 8, 0400, -8.100000 
 8, 0500, -7.700000 
 8, 0600, -7.200000 
 8, 0700, -6.600000 
 8, 0800, -7.200000 
 8, 0900, -8.700000 
 8, 1000, -9.400000 
 8, 1100, -10.000000 
 8, 1200, -10.800000 
 8, 1300, -11.200000 
 8, 1400, -11.500000 
 8, 1500, -11.700000 
 8, 1600, -12.000000 
 8, 1700, -12.200000 
 8, 1800, -12.400000 
 8, 1900, -12.300000 
 8, 2000, -12.600000 
 8, 2100, -12.800000 
 8, 2200, -12.500000 
 8, 2300, -12.400000 
 9, 0000, -11.500000 
 9, 0100, -8.200000 
 9, 0200, -5.900000 
 9, 0300, -3.900000 
 9, 0400, -1.900000 
 9, 0500, -0.300000 
 9, 0600, -0.700000 
 9, 0700, -0.400000 
 9, 0800, -0.700000 
 9, 0900, -1.000000 
 9, 1000, -0.700000 
 9, 1100, -0.700000 
 9, 1200, -1.100000 
 9, 1300, -1.500000 
 9, 1400, -1.700000 
 9, 1500, -1.700000 
 9, 1600, -1.700000 
 9, 1700, -1.200000 
 9, 1800, -1.300000 
 9, 1900, -1.200000 
 9, 2000, -1.100000 
 9, 2100, -1.000000 
 9, 2200, -1.200000 
 9, 2300, -1.700000 
 10, 0000, -0.400000 
 10, 0100, 1.600000 
 10, 0200, 3.200000 
 10, 0300, 4.200000 
 10, 0400, 4.400000 
 10, 0500, 5.000000 
 10, 0600, 5.700000 
 10, 0700, 5.700000 
 10, 0800, 5.000000 
 10, 0900, 3.900000 
 10, 1000, 3.100000 
 10, 1100, 2.300000 
 10, 1200, 2.000000 
 10, 1300, 1.200000 
 10, 1400, 0.600000 
 10, 1500, 0.600000 
 10, 1600, 0.700000 
 10, 1700, 0.900000 
 10, 1800, 0.700000 
 10, 1900, 0.600000 
 10, 2000, 0.600000 
 10, 2100, 0.700000 
 10, 2200, 1.200000 
 10, 2300, 1.200000 
 11, 0000, 1.400000 
 11, 0100, 2.100000 
 11, 0200, 4.000000 
 11, 0300, 5.300000 
 11, 0400, 6.500000 
 11, 0500, 7.300000 
 11, 0600, 7.800000 
 11, 0700, 7.200000 
